city,latitude,longitude,year,month,day,temperature
New York,40.6943,-73.9249,2019,3,30,11.94
New York,40.6943,-73.9249,2019,3,31,4.85
New York,40.6943,-73.9249,2019,4,1,5.39
New York,40.6943,-73.9249,2019,4,2,9.59
New York,40.6943,-73.9249,2019,4,3,10.42
New York,40.6943,-73.9249,2019,4,4,5.57
New York,40.6943,-73.9249,2019,4,5,8.61
New York,40.6943,-73.9249,2019,4,6,11.51
New York,40.6943,-73.9249,2019,4,7,14.68
New York,40.6943,-73.9249,2019,4,8,10.23
New York,40.6943,-73.9249,2019,4,9,9.98
New York,40.6943,-73.9249,2019,4,10,7.17
New York,40.6943,-73.9249,2019,4,11,11
New York,40.6943,-73.9249,2019,4,12,16.12
New York,40.6943,-73.9249,2019,4,13,15.55
New York,40.6943,-73.9249,2019,4,14,14.54
New York,40.6943,-73.9249,2019,4,15,10.81
New York,40.6943,-73.9249,2019,4,16,11.84
New York,40.6943,-73.9249,2019,4,17,12.03
New York,40.6943,-73.9249,2019,4,18,17.29
New York,40.6943,-73.9249,2019,4,19,17.01
New York,40.6943,-73.9249,2019,4,20,14.16
New York,40.6943,-73.9249,2019,4,21,14
New York,40.6943,-73.9249,2019,4,22,16.28
New York,40.6943,-73.9249,2019,4,23,17.59
New York,40.6943,-73.9249,2019,4,24,13.3
New York,40.6943,-73.9249,2019,4,25,13.38
New York,40.6943,-73.9249,2019,4,26,12.76
New York,40.6943,-73.9249,2019,4,27,10.73
New York,40.6943,-73.9249,2019,4,28,9.62
New York,40.6943,-73.9249,2019,4,29,11.87
New York,40.6943,-73.9249,2019,4,30,11.7
New York,40.6943,-73.9249,2019,5,1,13.55
New York,40.6943,-73.9249,2019,5,2,11.11
New York,40.6943,-73.9249,2019,5,3,14.06
New York,40.6943,-73.9249,2019,5,4,13.12
New York,40.6943,-73.9249,2019,5,5,13.81
New York,40.6943,-73.9249,2019,5,6,14.54
New York,40.6943,-73.9249,2019,5,7,15.99
New York,40.6943,-73.9249,2019,5,8,12.91
New York,40.6943,-73.9249,2019,5,9,16.32
New York,40.6943,-73.9249,2019,5,10,17.43
New York,40.6943,-73.9249,2019,5,11,11.53
New York,40.6943,-73.9249,2019,5,12,8.78
New York,40.6943,-73.9249,2019,5,13,9.18
New York,40.6943,-73.9249,2019,5,14,12.09
New York,40.6943,-73.9249,2019,5,15,16.46
New York,40.6943,-73.9249,2019,5,16,18.24
New York,40.6943,-73.9249,2019,5,17,17.93
New York,40.6943,-73.9249,2019,5,18,18.35
New York,40.6943,-73.9249,2019,5,19,22.61
New York,40.6943,-73.9249,2019,5,20,19.04
New York,40.6943,-73.9249,2019,5,21,17.58
New York,40.6943,-73.9249,2019,5,22,18.05
New York,40.6943,-73.9249,2019,5,23,20.77
New York,40.6943,-73.9249,2019,5,24,17.44
New York,40.6943,-73.9249,2019,5,25,20.7
New York,40.6943,-73.9249,2019,5,26,22.19
